date,category,units_sold
2024-01-01,Electronics,280
2024-01-02,Electronics,248
2024-01-03,Electronics,256
2024-01-04,Electronics,262
2024-01-05,Electronics,245
2024-01-06,Electronics,292
2024-01-07,Electronics,293
2024-01-08,Electronics,232
2024-01-09,Electronics,274
2024-01-10,Electronics,268
2024-01-11,Electronics,250
2024-01-12,Electronics,258
2024-01-13,Electronics,303
2024-01-14,Electronics,292
2024-01-15,Electronics,258
2024-01-16,Electronics,240
2024-01-17,Electronics,271
2024-01-18,Electronics,265
2024-01-19,Electronics,267
2024-01-20,Electronics,275
2024-01-21,Electronics,323
2024-01-22,Electronics,266
2024-01-23,Electronics,258
2024-01-24,Electronics,295
2024-01-25,Electronics,264
2024-01-26,Electronics,243
2024-01-27,Electronics,294
2024-01-28,Electronics,266
2024-01-29,Electronics,281
2024-01-30,Electronics,259
2024-01-31,Electronics,254
2024-02-01,Electronics,282
2024-02-02,Electronics,241
2024-02-03,Electronics,309
2024-02-04,Electronics,270
2024-02-05,Electronics,256
2024-02-06,Electronics,248
2024-02-07,Electronics,288
2024-02-08,Electronics,292
2024-02-09,Electronics,261
2024-02-10,Electronics,313
2024-02-11,Electronics,298
2024-02-12,Electronics,274
2024-02-13,Electronics,254
2024-02-14,Electronics,240
2024-02-15,Electronics,238
2024-02-16,Electronics,271
2024-02-17,Electronics,334
2024-02-18,Electronics,304
2024-02-19,Electronics,257
2024-02-20,Electronics,293
2024-02-21,Electronics,268
2024-02-22,Electronics,265
2024-02-23,Electronics,267
2024-02-24,Electronics,296
2024-02-25,Electronics,293
2024-02-26,Electronics,241
2024-02-27,Electronics,270
2024-02-28,Electronics,260
2024-02-29,Electronics,279
2024-03-01,Electronics,256
2024-03-02,Electronics,267
2024-03-03,Electronics,294
2024-03-04,Electronics,285
2024-03-05,Electronics,254
2024-03-06,Electronics,246
2024-03-07,Electronics,241
2024-03-08,Electronics,242
2024-03-09,Electronics,288
2024-03-10,Electronics,274
2024-03-11,Electronics,279
2024-03-12,Electronics,252
2024-03-13,Electronics,257
2024-03-14,Electronics,276
2024-03-15,Electronics,277
