,forecasted_units
2025-12-31,394.9
2026-01-01,395.7
2026-01-02,396.8
2026-01-03,431.2
2026-01-04,431.3
2026-01-05,397.2
2026-01-06,398.7
2026-01-07,400.3
2026-01-08,401.1
2026-01-09,402.2
2026-01-10,436.6
2026-01-11,436.7
2026-01-12,402.6
2026-01-13,404.1
2026-01-14,405.7
2026-01-15,406.5
2026-01-16,407.6
2026-01-17,442.0
2026-01-18,442.1
2026-01-19,408.0
2026-01-20,409.5
2026-01-21,411.1
2026-01-22,411.9
2026-01-23,413.0
2026-01-24,447.4
2026-01-25,447.5
2026-01-26,413.4
2026-01-27,414.9
2026-01-28,416.5
2026-01-29,417.3
